Organization,Prop A,Prop B,Prop C,Prop D,Prop E,Prop F,Prop G,Prop 1
San Francisco Chronicle,Yes,No,Yes,Yes,No,No,Yes,Yes
Democratic Party (SF),Yes,Yes,No,Yes,No,No,Yes,Yes
San Francisco Bay Guardian,Yes,No,No,Yes,No,No,No,Yes
SF League of Pissed Off Voters,Yes,No,No,Yes,No,No,No,Yes
YIMBY Action,Yes,,Yes,,,,,
GrowSF,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Green Party (SF),No,No,No,Yes,No,No,Yes,No
SF Berniecrats,Yes,No,No,Yes,No,No,No,No
SF Tenants Union,Yes,No,No,Yes,No,No,,
Sierra Club,Yes,,Yes,,,,,
SF Housing Action Coalition,Yes,,Yes,,,,,Yes
SF Labor Council,Yes,Yes,No,Yes,No,No,,
SEIU 1021,Yes,Yes,No,Yes,No,No,No,Yes
SF League of Conservation Voters,Yes,,Yes,,,,,
SPUR (Planning / Urban Research Association),Yes,,Yes,Yes,,No,,Yes
League of Women Voters of SF,Yes,No,,Yes,No,No,,No
SF Republican Party,No,No,Yes,Yes,Yes,Yes,Yes,
District 11 Democratic Club,Yes,,No,,,No,No,
Harvey Milk LGBTQ Democratic Club,Yes,,No,Yes,No,No,No,
United Democratic Club,Yes,No,Yes,,Yes,Yes,Yes,Yes
Ed M. Lee Asian Pacific Democratic Club,Yes,No,Yes,,Yes,,Yes,Yes
Alice B. Toklas LGBT Democratic Club,Yes,No,Yes,,Yes,No,,Yes
Bernal Heights Democratic Club,Yes,No,No,Yes,No,No,No,Yes
Chinese American Democratic Club,,No,Yes,,Yes,Yes,Yes,Yes
Eastern Neighborhoods Democratic Club,Yes,No,Yes,,Yes,Yes,Yes,Yes
Noe Valley Democratic Club,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Home Sharers Democratic Club,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
San Francisco Rising Action,Yes,No,No,Yes,No,No,,
United Educators of San Francisco,Yes,No,Yes,,,No,,
San Francisco Parent Action,,,,,,,Yes,
