Organization,President,US Senator,House CA-11,House CA-15,State Senate 11,State Assembly 17,State Assembly 19,Superior Court Seat 1,Superior Court Seat 13
San Francisco Chronicle,NA,Katie Porter,,,,,Catherine Stefani,Michael Begert,Patrick Thompson
Democratic Party (SF),NA,,Nancy Pelosi,Kevin Mullin,Scott Wiener,Matt Haney,Catherine Stefani,Michael Begert,Patrick Thompson
San Francisco Bay Guardian,NA,Barbara Lee,,,,,,Michael Begert,Patrick Thompson
SF League of Pissed Off Voters,NA,Barbara Lee,,,,,,Michael Begert,Patrick Thompson
SF Berniecrats,NA,Barbara Lee,,,,,David Lee,Michael Begert,Patrick Thompson
SEIU 1021,NA,,Nancy Pelosi,,Scott Wiener,Matt Haney,Catherine Stefani,,
SF Women's Political Committee,NA,Barbara Lee,,,,,Catherine Stefani,Michael Begert,Patrick Thompson
SF Republican Party,NA,Eric Early,,,Yvette Corkrean,Manuel Noris-Barrera,,Chip Zecher,Jean Myungjin Roland
District 11 Democratic Club,NA,,Nancy Pelosi,,,,,Michael Begert,Patrick Thompson
Harvey Milk LGBTQ Democratic Club,NA,Barbara Lee,Nancy Pelosi,Kevin Mullin,Scott Wiener,Matt Haney,,Michael Begert,Patrick Thompson
United Democratic Club,NA,Adam Schiff,Nancy Pelosi,Kevin Mullin,Scott Wiener,Matt Haney,Catherine Stefani,Chip Zecher,Jean Myungjin Roland
Ed M. Lee Asian Pacific Democratic Club,NA,Adam Schiff,Nancy Pelosi,Kevin Mullin,Scott Wiener,Matt Haney,Catherine Stefani,Chip Zecher,Jean Myungjin Roland
Alice B. Toklas LGBT Democratic Club,NA,Barbara Lee,Nancy Pelosi,Kevin Mullin,Scott Wiener,Matt Haney,Catherine Stefani,Chip Zecher,Jean Myungjin Roland
Bernal Heights Democratic Club,NA,Barbara Lee,,,,,,Michael Begert,Patrick Thompson
Chinese American Democratic Club,NA,Barbara Lee,Nancy Pelosi,,Scott Wiener,Matt Haney,Catherine Stefani,Chip Zecher,Jean Myungjin Roland
Eastern Neighborhoods Democratic Club,NA,,Nancy Pelosi,,Scott Wiener,Matt Haney,Catherine Stefani,Chip Zecher,Jean Myungjin Roland
Noe Valley Democratic Club,NA,,Nancy Pelosi,,Scott Wiener,Matt Haney,,,Jean Myungjin Roland
SF Young Democrats,NA,Barbara Lee,Nancy Pelosi,Kevin Mullin,Scott Wiener,Matt Haney,Catherine Stefani,,
Home Sharers Democratic Club,NA,Adam Schiff,Nancy Pelosi,Kevin Mullin,Scott Wiener,Matt Haney,Catherine Stefani,,
SF Young Republicans,NA,,Jason Zeng,,Yvette Corkrean,,Arjun Sodhani,,
San Francisco Rising Action,NA,Barbara Lee,,,NA,NA,NA,NA,NA
YIMBY Action,NA,NA,NA,NA,Scott Wiener,Matt Haney,Catherine Stefani,,
GrowSF,NA,NA,NA,NA,Scott Wiener,Matt Haney,Catherine Stefani,Chip Zecher,Jean Myungjin Roland
Green Party (SF),NA,NA,NA,NA,,,,Michael Begert,
SF Tenants Union,NA,NA,NA,NA,,,,Michael Begert,Patrick Thompson
Sierra Club,NA,NA,NA,NA,Scott Wiener,Matt Haney,Catherine Stefani,,
SF Housing Action Coalition,NA,NA,NA,NA,Scott Wiener,Matt Haney,Catherine Stefani,,
SF Labor Council,NA,NA,NA,NA,,,,Michael Begert,Patrick Thompson
