Organization,President,US Senator,House CA-11,House CA-15,State Senate 11,State Assembly 17,State Assembly 19
Democratic Party (SF),Kamala Harris,Adam Schiff,Nancy Pelosi,Kevin Mullin,Scott Wiener,Matt Haney,Catherine Stefani
SF League of Pissed Off Voters,Kamala Harris,,,,,,
Green Party (SF),Jill Stein,,,,,,
Sierra Club,Kamala Harris,,Nancy Pelosi,,Scott Wiener,Matt Haney,Catherine Stefani
SEIU 1021,Kamala Harris,,Nancy Pelosi,Kevin Mullin,Scott Wiener,Matt Haney,Catherine Stefani
SF Women's Political Committee,,Adam Schiff,Nancy Pelosi,Kevin Mullin,Scott Wiener,Matt Haney,Catherine Stefani
TogetherSF,Kamala Harris,Adam Schiff,Nancy Pelosi,Kevin Mullin,Scott Wiener,Matt Haney,Catherine Stefani
SF Republican Party,Donald Trump,Steve Garvey,Bruce Lou,Anna Cheng Kramer,Yvette Corkrean,Manuel Noris-Barrera,
District 11 Democratic Club,Kamala Harris,Adam Schiff,Nancy Pelosi,Kevin Mullin,,Matt Haney,
Potrero Hill Democratic Club,Kamala Harris,Adam Schiff,Nancy Pelosi,,Scott Wiener,Matt Haney,
Harvey Milk LGBTQ Democratic Club,Kamala Harris,,Nancy Pelosi,Kevin Mullin,,Matt Haney,David Lee
United Democratic Club,Kamala Harris,Adam Schiff,Nancy Pelosi,Kevin Mullin,Scott Wiener,Matt Haney,Catherine Stefani
Ed M. Lee Asian Pacific Democratic Club,Kamala Harris,Adam Schiff,Nancy Pelosi,Kevin Mullin,Scott Wiener,Matt Haney,Catherine Stefani
Alice B. Toklas LGBT Democratic Club,Kamala Harris,Adam Schiff,Nancy Pelosi,Kevin Mullin,Scott Wiener,Matt Haney,Catherine Stefani
Bernal Heights Democratic Club,Kamala Harris,Adam Schiff,Nancy Pelosi,,,,
Chinese American Democratic Club,Kamala Harris,Adam Schiff,Nancy Pelosi,Kevin Mullin,Scott Wiener,Matt Haney,Catherine Stefani
Eastern Neighborhoods Democratic Club,Kamala Harris,Adam Schiff,Nancy Pelosi,,Scott Wiener,Matt Haney,Catherine Stefani
Noe Valley Democratic Club,Kamala Harris,,Nancy Pelosi,,Scott Wiener,Matt Haney,
Home Sharers Democratic Club,Kamala Harris,Adam Schiff,Nancy Pelosi,Kevin Mullin,Scott Wiener,Matt Haney,Catherine Stefani
SF Young Republicans,Donald Trump,,Bruce Lou,,Yvette Corkrean,Manuel Noris-Barrera,
YIMBY Action,,,,,Scott Wiener,Matt Haney,Catherine Stefani
GrowSF,,,,,Scott Wiener,Matt Haney,Catherine Stefani
SF Tenants Union,,,,,,,David Lee
SF Housing Action Coalition,,,,,Scott Wiener,Matt Haney,Catherine Stefani
SF Bicycle Coalition,,,,,Scott Wiener,Matt Haney,
