Organization,Prop 2,Prop 3,Prop 4,Prop 5,Prop 6,Prop 32,Prop 33,Prop 34,Prop 35,Prop 36
San Francisco Bay Guardian,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
SF League of Pissed Off Voters,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
YIMBY Action,,,,Yes,,,No,,,
GrowSF,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Green Party (SF),No,Yes,No,No,Yes,Yes,Yes,No,Yes,No
SF Tenants Union,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
SEIU 1021,Yes,Yes,Yes,Yes,Yes,Yes,,,,No
SF Women's Political Committee,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,No
TogetherSF,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
League of Women Voters of SF,Yes,Yes,Yes,Yes,Yes,Yes,,,No,No
District 11 Democratic Club,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,
Potrero Hill Democratic Club,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,
Harvey Milk LGBTQ Democratic Club,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
United Democratic Club,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Ed M. Lee Asian Pacific Democratic Club,Yes,Yes,Yes,No,Yes,,No,Yes,Yes,Yes
Alice B. Toklas LGBT Democratic Club,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,No
Bernal Heights Democratic Club,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
Chinese American Democratic Club,Yes,Yes,Yes,No,No,No,No,Yes,,Yes
Eastern Neighborhoods Democratic Club,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Home Sharers Democratic Club,,Yes,Yes,Yes,Yes,Yes,No,,Yes,
